unique_id: 749cac4d-1696-448a-a32c-87ee910eac01 label: (C,1,1,1,False);
unique_id: 78bffe23-a2f1-434a-baa7-2b2d9d2a7ccb label: (A,2,1,1,False);
unique_id: fa04b1c3-0b14-4ccb-ae70-76ebca118f9c label: (A,23,15,1,False); child_unique_id: 416f4b1c-5d7c-45bd-b39f-d27ecb38b0b3 child_label: (A,20,14);
unique_id: bebc1371-9fcc-4629-8a5a-015c5f1fdb75 label: (C,23,13,1,False); child_unique_id: 415c807b-beb7-45fc-a870-0124c8fd0d40 child_label: (C,22,12);
unique_id: 70c5d0c6-d78e-470f-ac7b-da027e43cd24 label: (C,24,14,1,False); child_unique_id: bebc1371-9fcc-4629-8a5a-015c5f1fdb75 child_label: (C,23,13);
unique_id: ef0e65c8-7e16-4dad-9a5b-dfc56022c0a1 label: (C,25,15,1,False); child_unique_id: 70c5d0c6-d78e-470f-ac7b-da027e43cd24 child_label: (C,24,14);
unique_id: 8af62dea-e4e6-4581-8fea-b903acdf1e2d label: (A,26,16,1,False); child_unique_id: fa04b1c3-0b14-4ccb-ae70-76ebca118f9c child_label: (A,23,15);
unique_id: ee7f97fe-2c70-49bd-a78d-8f1ebb46f0f9 label: (A,28,17,1,False); child_unique_id: 8af62dea-e4e6-4581-8fea-b903acdf1e2d child_label: (A,26,16);
unique_id: dcc18de8-150c-4760-bb1b-65de6bab19f3 label: (A,29,18,1,False); child_unique_id: ee7f97fe-2c70-49bd-a78d-8f1ebb46f0f9 child_label: (A,28,17);
unique_id: 84b3927a-bd43-48f4-922d-aa84b6dba17d label: (C,30,16,1,False); child_unique_id: ef0e65c8-7e16-4dad-9a5b-dfc56022c0a1 child_label: (C,25,15);
unique_id: 09d63c25-53c1-4c23-aee6-e09eb18899ae label: (C,31,17,1,False); child_unique_id: 84b3927a-bd43-48f4-922d-aa84b6dba17d child_label: (C,30,16);
unique_id: 7ae4855f-5455-405f-bb5b-b3a1f3735f26 label: (A,32,19,1,True); child_unique_id: dcc18de8-150c-4760-bb1b-65de6bab19f3 child_label: (A,29,18);
unique_id: abca4a13-520d-41f4-a1c9-5751c719ffa5 label: (C,32,18,1,True); child_unique_id: 09d63c25-53c1-4c23-aee6-e09eb18899ae child_label: (C,31,17);
