unique_id: f6203508-c284-4aee-897c-8e60e2dd7561 label: (B,1,1,1,False);
unique_id: 4fb5f14a-993d-40e1-ade1-15cd6f32ba38 label: (C,1,1,1,False);
unique_id: 70450a02-1893-40fa-a2a8-a63275f0fb40 label: (A,20,8,1,False); child_unique_id: 6ae7ee9a-9e83-44bd-9732-8d4108c28442 child_label: (A,18,7);
unique_id: bbc222d7-c09f-4403-aa01-c371f6e1b114 label: (B,22,13,1,False); child_unique_id: 08d9d244-ed1e-4796-992c-4e9b9fa1011e child_label: (B,18,12);
unique_id: 385dfe38-4d13-4d7e-a4bb-3451ec6d128d label: (A,23,9,1,False); child_unique_id: 70450a02-1893-40fa-a2a8-a63275f0fb40 child_label: (A,20,8);
unique_id: 9b42ab43-99b5-4b44-9920-05c3ace045ef label: (B,24,14,1,False); child_unique_id: bbc222d7-c09f-4403-aa01-c371f6e1b114 child_label: (B,22,13);
unique_id: 8392b4fb-26c8-4b61-9df2-12a2ae4351c5 label: (B,25,15,1,False); child_unique_id: 9b42ab43-99b5-4b44-9920-05c3ace045ef child_label: (B,24,14);
unique_id: 596686f6-b60d-4008-b3f5-5b7cfe205608 label: (A,26,10,1,False); child_unique_id: 385dfe38-4d13-4d7e-a4bb-3451ec6d128d child_label: (A,23,9);
unique_id: 01e9306c-edb2-4b8e-bc23-ea462bf38fc8 label: (B,27,16,1,False); child_unique_id: 8392b4fb-26c8-4b61-9df2-12a2ae4351c5 child_label: (B,25,15);
unique_id: a3838e85-9588-4040-a76a-9e25ac848177 label: (A,28,11,1,False); child_unique_id: 596686f6-b60d-4008-b3f5-5b7cfe205608 child_label: (A,26,10);
unique_id: 93be377a-3c94-48de-a04c-3ffe349ed8b9 label: (B,28,17,1,False); child_unique_id: 01e9306c-edb2-4b8e-bc23-ea462bf38fc8 child_label: (B,27,16);
unique_id: 27edc8b7-8473-4749-ad3d-afa7d6200eba label: (B,29,18,1,False); child_unique_id: 93be377a-3c94-48de-a04c-3ffe349ed8b9 child_label: (B,28,17);
unique_id: 60af1243-a865-48a2-8c62-179cbd21e9fd label: (A,30,12,1,False); child_unique_id: a3838e85-9588-4040-a76a-9e25ac848177 child_label: (A,28,11);
unique_id: 2cf2d423-8a84-480a-adcb-2af7b76c17b1 label: (A,31,13,1,False); child_unique_id: 60af1243-a865-48a2-8c62-179cbd21e9fd child_label: (A,30,12);
unique_id: d6addadc-c2bd-48ba-9b04-30bbae68f76b label: (B,32,19,1,False); child_unique_id: 27edc8b7-8473-4749-ad3d-afa7d6200eba child_label: (B,29,18);
unique_id: 393eb9e1-47bf-476c-966f-7edd09ec4ce9 label: (A,33,14,1,False); child_unique_id: 2cf2d423-8a84-480a-adcb-2af7b76c17b1 child_label: (A,31,13);
unique_id: e0bb6357-357e-40c2-8bf7-908871de52af label: (B,33,20,1,False); child_unique_id: d6addadc-c2bd-48ba-9b04-30bbae68f76b child_label: (B,32,19);
unique_id: 95432788-5885-41a7-b2e4-a009a044e9bd label: (B,34,21,1,False); child_unique_id: e0bb6357-357e-40c2-8bf7-908871de52af child_label: (B,33,20);
unique_id: f4e9bde3-0d89-48a4-9c0a-4afec5148e8c label: (A,35,15,1,False); child_unique_id: 393eb9e1-47bf-476c-966f-7edd09ec4ce9 child_label: (A,33,14);
unique_id: fd158e75-82f8-49e0-911e-0bf61183fdeb label: (B,35,22,1,False); child_unique_id: 95432788-5885-41a7-b2e4-a009a044e9bd child_label: (B,34,21);
unique_id: 9c729f70-f8a7-4319-a013-272b79d31a0a label: (B,36,23,1,False); child_unique_id: fd158e75-82f8-49e0-911e-0bf61183fdeb child_label: (B,35,22);
unique_id: d70a13e2-ace8-4b55-b29f-829d90222923 label: (B,38,24,1,False); child_unique_id: 9c729f70-f8a7-4319-a013-272b79d31a0a child_label: (B,36,23);
unique_id: ba65a39d-b4ba-4832-964d-6879a8db02b7 label: (B,39,25,1,False); child_unique_id: d70a13e2-ace8-4b55-b29f-829d90222923 child_label: (B,38,24);
unique_id: d5a8525e-568c-4754-b33b-ce19dec82a59 label: (A,40,16,1,False); child_unique_id: f4e9bde3-0d89-48a4-9c0a-4afec5148e8c child_label: (A,35,15);
unique_id: ec69474d-eebc-4f7a-ad0f-f803220fce5a label: (A,41,17,1,True); child_unique_id: d5a8525e-568c-4754-b33b-ce19dec82a59 child_label: (A,40,16);
unique_id: ad986696-6d17-4e05-8a91-f146dfcdfff6 label: (B,41,26,1,True); child_unique_id: ba65a39d-b4ba-4832-964d-6879a8db02b7 child_label: (B,39,25);
